,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
3276,1,11110,내수동,2012-11-08,경희궁의아침3단지,72,150.48,3,2004,100000,664.5401382243488,357
3281,1,11110,무악동,2012-11-08,현대,82,84.92,1,2000,42100,495.7607159679698,357
3288,1,11110,수송동,2012-11-08,로얄팰리스스위트,85,36.86,8,2005,29000,786.7607162235486,357
3289,1,11110,수송동,2012-11-09,로얄팰리스스위트,85,36.86,9,2005,30000,813.8903960933261,357
3290,1,11110,수송동,2012-11-10,로얄팰리스스위트,85,36.86,16,2005,32500,881.71459576777,357
3302,1,11110,창신동,2012-11-08,창신쌍용2,703,64.66,8,1993,23000,355.7067738942159,357
3303,1,11110,창신동,2012-11-09,창신쌍용2,703,79.87,4,1993,28800,360.5859521722799,357
3309,1,11110,평창동,2012-11-06,롯데캐슬 로잔,108,244.937,4,2009,163666,668.1963117046424,357
3310,1,11110,평창동,2012-11-06,롯데캐슬 로잔,108,215.146,7,2009,138000,641.4248928634509,357
3311,1,11110,평창동,2012-11-06,롯데캐슬 로잔,108,238.858,3,2009,162000,678.2272312419932,357
3312,1,11110,평창동,2012-11-06,갑을,595,32.56,13,1997,11700,359.3366093366093,357
3313,1,11110,평창동,2012-11-08,롯데낙천대,72,87.27,4,2001,46000,527.0998052022459,357
3314,1,11110,평창동,2012-11-09,삼성,596,84.93,8,1998,38000,447.42729306487695,357
3319,1,11110,필운동,2012-11-05,신동아블루아광화문의 꿈,254,108.95,9,2007,57000,523.1757687012391,357
